"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","157","test_spec","test_case","2026-03-06","passed","2026-03-06","TestSpec","ls_test_get_spec","",""
"","157","test_dept","test_case","2026-03-06","passed","2026-03-06","TestDept","ls_test_dept","",""
"","164","test_tag","test_case","2026-03-06","passed","2026-03-06","TestTag","ls_test_get_tag","",""
"","162","test_brands","test_case","2026-03-06","passed","2026-03-06","TestBrand","ls_test_get_brand","",""
"","145","test_login[case1_正向登录_正确账号密码-case_data0]","test_case","2026-03-06","passed","2026-03-06","TestLogin","test_api_login","",""
"","160","test_allergen","test_case","2026-03-06","passed","2026-03-06","TestAllergen","ls_test_get_allergen","",""
"","126","test_login[case3_异常登录_账号不存在-case_data2]","test_case","2026-03-06","failed","2026-03-06","TestLogin","test_api_login","",""
"","134","test_login[case4_异常登录_账号为空-case_data3]","test_case","2026-03-06","failed","2026-03-06","TestLogin","test_api_login","",""
"","143","test_login[case2_异常登录_密码错误-case_data1]","test_case","2026-03-06","failed","2026-03-06","TestLogin","test_api_login","",""
